TRT01A,AETERM,AEBODSYS,param,value,sub_col_label,AETERM_ORD,AEBODSYS_ORD
Placebo,APPLICATION SITE DERMATITIS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_tot,9,AEs,7,2
Placebo,APPLICATION SITE DERMATITIS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_pct,0.05813953488372093,N_and_N_pct,7,2
Placebo,APPLICATION SITE ERYTHEMA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N,3,N_and_N_pct,2,2
Placebo,APPLICATION SITE ERYTHEMA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_tot,3,AEs,2,2
Placebo,APPLICATION SITE ERYTHEMA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_pct,0.03488372093023256,N_and_N_pct,2,2
Placebo,APPLICATION SITE INDURATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N,1,N_and_N_pct,18,2
Placebo,APPLICATION SITE INDURATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_tot,1,AEs,18,2
Placebo,APPLICATION SITE INDURATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_pct,0.011627906976744186,N_and_N_pct,18,2
Placebo,APPLICATION SITE IRRITATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N,3,N_and_N_pct,6,2
Placebo,APPLICATION SITE IRRITATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_tot,7,AEs,6,2
Placebo,APPLICATION SITE IRRITATION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_pct,0.03488372093023256,N_and_N_pct,6,2
Placebo,APPLICATION SITE PRURITUS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N,6,N_and_N_pct,3,2
Placebo,APPLICATION SITE PRURITUS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_tot,10,AEs,3,2
Placebo,APPLICATION SITE PRURITUS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_pct,0.06976744186046512,N_and_N_pct,3,2
Placebo,APPLICATION SITE REACTION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N,1,N_and_N_pct,21,2
Placebo,APPLICATION SITE REACTION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_tot,2,AEs,21,2
Placebo,APPLICATION SITE REACTION,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_pct,0.011627906976744186,N_and_N_pct,21,2
Placebo,APPLICATION SITE VESICLES,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N,1,N_and_N_pct,5,2
Placebo,APPLICATION SITE VESICLES,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_tot,2,AEs,5,2
Placebo,APPLICATION SITE VESICLES,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_pct,0.011627906976744186,N_and_N_pct,5,2
Placebo,ARTHRALGIA,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,N,1,N_and_N_pct,32,8
Placebo,ARTHRALGIA,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,N_tot,1,AEs,32,8
Placebo,ARTHRALGIA,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,32,8
Placebo,ARTHRITIS,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,N,1,N_and_N_pct,109,8
Placebo,ARTHRITIS,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,N_tot,2,AEs,109,8
Placebo,ARTHRITIS,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,109,8
Placebo,ASTHENIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N,1,N_and_N_pct,205,2
Placebo,ASTHENIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_tot,2,AEs,205,2
Placebo,ASTHENIA,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_pct,0.011627906976744186,N_and_N_pct,205,2
Placebo,ATRIAL FIBRILLATION,CARDIAC DISORDERS,N,1,N_and_N_pct,129,6
Placebo,ATRIAL FIBRILLATION,CARDIAC DISORDERS,N_tot,1,AEs,129,6
Placebo,ATRIAL FIBRILLATION,CARDIAC DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,129,6
Placebo,ATRIAL HYPERTROPHY,CARDIAC DISORDERS,N,1,N_and_N_pct,160,6
Placebo,ATRIAL HYPERTROPHY,CARDIAC DISORDERS,N_tot,2,AEs,160,6
Placebo,ATRIAL HYPERTROPHY,CARDIAC DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,160,6
Placebo,ATRIOVENTRICULAR BLOCK FIRST DEGREE,CARDIAC DISORDERS,N,1,N_and_N_pct,191,6
Placebo,ATRIOVENTRICULAR BLOCK FIRST DEGREE,CARDIAC DISORDERS,N_tot,1,AEs,191,6
Placebo,ATRIOVENTRICULAR BLOCK FIRST DEGREE,CARDIAC DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,191,6
Placebo,ATRIOVENTRICULAR BLOCK SECOND DEGREE,CARDIAC DISORDERS,N,2,N_and_N_pct,24,6
Placebo,ATRIOVENTRICULAR BLOCK SECOND DEGREE,CARDIAC DISORDERS,N_tot,2,AEs,24,6
Placebo,ATRIOVENTRICULAR BLOCK SECOND DEGREE,CARDIAC DISORDERS,N_pct,0.023255813953488372,N_and_N_pct,24,6
Placebo,BACK PAIN,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,N,1,N_and_N_pct,91,8
Placebo,BACK PAIN,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,N_tot,2,AEs,91,8
Placebo,BACK PAIN,MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,91,8
Placebo,BENIGN PROSTATIC HYPERPLASIA,REPRODUCTIVE SYSTEM AND BREAST DISORDERS,N,1,N_and_N_pct,100,17
Placebo,BENIGN PROSTATIC HYPERPLASIA,REPRODUCTIVE SYSTEM AND BREAST DISORDERS,N_tot,2,AEs,100,17
Placebo,BENIGN PROSTATIC HYPERPLASIA,REPRODUCTIVE SYSTEM AND BREAST DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,100,17
Placebo,BLOOD ALKALINE PHOSPHATASE INCREASED,INVESTIGATIONS,N,1,N_and_N_pct,179,14
Placebo,BLOOD ALKALINE PHOSPHATASE INCREASED,INVESTIGATIONS,N_tot,1,AEs,179,14
Placebo,BLOOD ALKALINE PHOSPHATASE INCREASED,INVESTIGATIONS,N_pct,0.011627906976744186,N_and_N_pct,179,14
Placebo,BLOOD CREATINE PHOSPHOKINASE INCREASED,INVESTIGATIONS,N,1,N_and_N_pct,147,14
Placebo,BLOOD CREATINE PHOSPHOKINASE INCREASED,INVESTIGATIONS,N_tot,2,AEs,147,14
Placebo,BLOOD CREATINE PHOSPHOKINASE INCREASED,INVESTIGATIONS,N_pct,0.011627906976744186,N_and_N_pct,147,14
Placebo,BLOOD URINE PRESENT,INVESTIGATIONS,N,1,N_and_N_pct,166,14
Placebo,BLOOD URINE PRESENT,INVESTIGATIONS,N_tot,1,AEs,166,14
Placebo,BLOOD URINE PRESENT,INVESTIGATIONS,N_pct,0.011627906976744186,N_and_N_pct,166,14
Placebo,BRADYCARDIA,CARDIAC DISORDERS,N,1,N_and_N_pct,233,6
Placebo,BRADYCARDIA,CARDIAC DISORDERS,N_tot,4,AEs,233,6
Placebo,BRADYCARDIA,CARDIAC DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,233,6
Placebo,BRONCHITIS,INFECTIONS AND INFESTATIONS,N,1,N_and_N_pct,214,7
Placebo,BRONCHITIS,INFECTIONS AND INFESTATIONS,N_tot,1,AEs,214,7
Placebo,BRONCHITIS,INFECTIONS AND INFESTATIONS,N_pct,0.011627906976744186,N_and_N_pct,214,7
Placebo,BUNDLE BRANCH BLOCK LEFT,CARDIAC DISORDERS,N,1,N_and_N_pct,26,6
Placebo,BUNDLE BRANCH BLOCK LEFT,CARDIAC DISORDERS,N_tot,1,AEs,26,6
Placebo,BUNDLE BRANCH BLOCK LEFT,CARDIAC DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,26,6
Placebo,BUNDLE BRANCH BLOCK RIGHT,CARDIAC DISORDERS,N,1,N_and_N_pct,215,6
Placebo,BUNDLE BRANCH BLOCK RIGHT,CARDIAC DISORDERS,N_tot,2,AEs,215,6
Placebo,BUNDLE BRANCH BLOCK RIGHT,CARDIAC DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,215,6
Placebo,CARDIAC FAILURE CONGESTIVE,CARDIAC DISORDERS,N,1,N_and_N_pct,193,6
Placebo,CARDIAC FAILURE CONGESTIVE,CARDIAC DISORDERS,N_tot,1,AEs,193,6
Placebo,CARDIAC FAILURE CONGESTIVE,CARDIAC DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,193,6
Placebo,CATARACT OPERATION,SURGICAL AND MEDICAL PROCEDURES,N,1,N_and_N_pct,104,15
Placebo,CATARACT OPERATION,SURGICAL AND MEDICAL PROCEDURES,N_tot,1,AEs,104,15
Placebo,CATARACT OPERATION,SURGICAL AND MEDICAL PROCEDURES,N_pct,0.011627906976744186,N_and_N_pct,104,15
Placebo,CERVICITIS,INFECTIONS AND INFESTATIONS,N,1,N_and_N_pct,208,7
Placebo,CERVICITIS,INFECTIONS AND INFESTATIONS,N_tot,2,AEs,208,7
Placebo,CERVICITIS,INFECTIONS AND INFESTATIONS,N_pct,0.011627906976744186,N_and_N_pct,208,7
Placebo,CHILLS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N,1,N_and_N_pct,103,2
Placebo,CHILLS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_tot,3,AEs,103,2
Placebo,CHILLS,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_pct,0.011627906976744186,N_and_N_pct,103,2
Placebo,COLD SWEAT,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N,1,N_and_N_pct,192,3
Placebo,COLD SWEAT,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N_tot,3,AEs,192,3
Placebo,COLD SWEAT,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,192,3
Placebo,COMPLETED SUICIDE,PSYCHIATRIC DISORDERS,N,1,N_and_N_pct,137,11
Placebo,COMPLETED SUICIDE,PSYCHIATRIC DISORDERS,N_tot,1,AEs,137,11
Placebo,COMPLETED SUICIDE,PSYCHIATRIC DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,137,11
Placebo,CONFUSIONAL STATE,PSYCHIATRIC DISORDERS,N,2,N_and_N_pct,62,11
Placebo,CONFUSIONAL STATE,PSYCHIATRIC DISORDERS,N_tot,2,AEs,62,11
Placebo,CONFUSIONAL STATE,PSYCHIATRIC DISORDERS,N_pct,0.023255813953488372,N_and_N_pct,62,11
Placebo,CONJUNCTIVITIS,EYE DISORDERS,N,2,N_and_N_pct,148,10
Placebo,CONJUNCTIVITIS,EYE DISORDERS,N_tot,4,AEs,148,10
Placebo,CONJUNCTIVITIS,EYE DISORDERS,N_pct,0.023255813953488372,N_and_N_pct,148,10
Placebo,CONSTIPATION,GASTROINTESTINAL DISORDERS,N,1,N_and_N_pct,159,5
Placebo,CONSTIPATION,GASTROINTESTINAL DISORDERS,N_tot,1,AEs,159,5
Placebo,CONSTIPATION,GASTROINTESTINAL DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,159,5
Placebo,CONTUSION,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",N,1,N_and_N_pct,75,16
Placebo,CONTUSION,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",N_tot,1,AEs,75,16
Placebo,CONTUSION,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",N_pct,0.011627906976744186,N_and_N_pct,75,16
Placebo,COUGH,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",N,3,N_and_N_pct,37,4
Placebo,COUGH,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",N_tot,4,AEs,37,4
Placebo,COUGH,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",N_pct,0.03488372093023256,N_and_N_pct,37,4
Placebo,CYSTITIS,INFECTIONS AND INFESTATIONS,N,1,N_and_N_pct,117,7
Placebo,CYSTITIS,INFECTIONS AND INFESTATIONS,N_tot,1,AEs,117,7
Placebo,CYSTITIS,INFECTIONS AND INFESTATIONS,N_pct,0.011627906976744186,N_and_N_pct,117,7
Placebo,CYSTOSCOPY,INVESTIGATIONS,N,1,N_and_N_pct,167,14
Placebo,CYSTOSCOPY,INVESTIGATIONS,N_tot,1,AEs,167,14
Placebo,CYSTOSCOPY,INVESTIGATIONS,N_pct,0.011627906976744186,N_and_N_pct,167,14
Placebo,DECREASED APPETITE,METABOLISM AND NUTRITION DISORDERS,N,1,N_and_N_pct,107,12
Placebo,DECREASED APPETITE,METABOLISM AND NUTRITION DISORDERS,N_tot,2,AEs,107,12
Placebo,DECREASED APPETITE,METABOLISM AND NUTRITION DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,107,12
Placebo,DEHYDRATION,METABOLISM AND NUTRITION DISORDERS,N,1,N_and_N_pct,168,12
Placebo,DEHYDRATION,METABOLISM AND NUTRITION DISORDERS,N_tot,1,AEs,168,12
Placebo,DEHYDRATION,METABOLISM AND NUTRITION DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,168,12
Placebo,DELUSION,PSYCHIATRIC DISORDERS,N,1,N_and_N_pct,195,11
Placebo,DELUSION,PSYCHIATRIC DISORDERS,N_tot,1,AEs,195,11
Placebo,DELUSION,PSYCHIATRIC DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,195,11
Placebo,DERMATITIS ATOPIC,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N,1,N_and_N_pct,239,3
Placebo,DERMATITIS ATOPIC,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N_tot,1,AEs,239,3
Placebo,DERMATITIS ATOPIC,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,239,3
Placebo,DIABETES MELLITUS,METABOLISM AND NUTRITION DISORDERS,N,1,N_and_N_pct,171,12
Placebo,DIABETES MELLITUS,METABOLISM AND NUTRITION DISORDERS,N_tot,1,AEs,171,12
Placebo,DIABETES MELLITUS,METABOLISM AND NUTRITION DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,171,12
Placebo,DIARRHOEA,GASTROINTESTINAL DISORDERS,N,9,N_and_N_pct,23,5
Placebo,DIARRHOEA,GASTROINTESTINAL DISORDERS,N_tot,10,AEs,23,5
Placebo,DIARRHOEA,GASTROINTESTINAL DISORDERS,N_pct,0.10465116279069768,N_and_N_pct,23,5
Placebo,DISORIENTATION,PSYCHIATRIC DISORDERS,N,1,N_and_N_pct,108,11
Placebo,DISORIENTATION,PSYCHIATRIC DISORDERS,N_tot,1,AEs,108,11
Placebo,DISORIENTATION,PSYCHIATRIC DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,108,11
Placebo,DIZZINESS,NERVOUS SYSTEM DISORDERS,N,2,N_and_N_pct,76,13
Placebo,DIZZINESS,NERVOUS SYSTEM DISORDERS,N_tot,3,AEs,76,13
Placebo,DIZZINESS,NERVOUS SYSTEM DISORDERS,N_pct,0.023255813953488372,N_and_N_pct,76,13
Placebo,DRUG ERUPTION,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N,1,N_and_N_pct,172,3
Placebo,DRUG ERUPTION,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N_tot,1,AEs,172,3
Placebo,DRUG ERUPTION,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,172,3
Placebo,DYSPEPSIA,GASTROINTESTINAL DISORDERS,N,1,N_and_N_pct,47,5
Placebo,DYSPEPSIA,GASTROINTESTINAL DISORDERS,N_tot,2,AEs,47,5
Placebo,DYSPEPSIA,GASTROINTESTINAL DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,47,5
Placebo,DYSPNOEA,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",N,1,N_and_N_pct,63,4
Placebo,DYSPNOEA,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",N_tot,1,AEs,63,4
Placebo,DYSPNOEA,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",N_pct,0.011627906976744186,N_and_N_pct,63,4
Placebo,DYSURIA,RENAL AND URINARY DISORDERS,N,1,N_and_N_pct,209,9
Placebo,DYSURIA,RENAL AND URINARY DISORDERS,N_tot,1,AEs,209,9
Placebo,DYSURIA,RENAL AND URINARY DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,209,9
Placebo,EAR INFECTION,INFECTIONS AND INFESTATIONS,N,2,N_and_N_pct,199,7
Placebo,EAR INFECTION,INFECTIONS AND INFESTATIONS,N_tot,4,AEs,199,7
Placebo,EAR INFECTION,INFECTIONS AND INFESTATIONS,N_pct,0.023255813953488372,N_and_N_pct,199,7
Placebo,EAR PAIN,EAR AND LABYRINTH DISORDERS,N,1,N_and_N_pct,216,20
Placebo,EAR PAIN,EAR AND LABYRINTH DISORDERS,N_tot,2,AEs,216,20
Placebo,EAR PAIN,EAR AND LABYRINTH DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,216,20
Placebo,ELECTROCARDIOGRAM ST SEGMENT DEPRESSION,INVESTIGATIONS,N,4,N_and_N_pct,122,14
Placebo,ELECTROCARDIOGRAM ST SEGMENT DEPRESSION,INVESTIGATIONS,N_tot,4,AEs,122,14
Placebo,ELECTROCARDIOGRAM ST SEGMENT DEPRESSION,INVESTIGATIONS,N_pct,0.046511627906976744,N_and_N_pct,122,14
Placebo,ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED,INVESTIGATIONS,N,1,N_and_N_pct,197,14
Placebo,ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED,INVESTIGATIONS,N_tot,1,AEs,197,14
Placebo,ELECTROCARDIOGRAM T WAVE AMPLITUDE DECREASED,INVESTIGATIONS,N_pct,0.011627906976744186,N_and_N_pct,197,14
Placebo,ELECTROCARDIOGRAM T WAVE INVERSION,INVESTIGATIONS,N,2,N_and_N_pct,163,14
Placebo,ELECTROCARDIOGRAM T WAVE INVERSION,INVESTIGATIONS,N_tot,3,AEs,163,14
Placebo,ELECTROCARDIOGRAM T WAVE INVERSION,INVESTIGATIONS,N_pct,0.023255813953488372,N_and_N_pct,163,14
Placebo,EMPHYSEMA,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",N,1,N_and_N_pct,217,4
Placebo,EMPHYSEMA,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",N_tot,1,AEs,217,4
Placebo,EMPHYSEMA,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",N_pct,0.011627906976744186,N_and_N_pct,217,4
Placebo,ERYTHEMA,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N,9,N_and_N_pct,4,3
Placebo,ERYTHEMA,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N_tot,13,AEs,4,3
Placebo,ERYTHEMA,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,N_pct,0.10465116279069768,N_and_N_pct,4,3
Placebo,EXCORIATION,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",N,2,N_and_N_pct,118,16
Placebo,EXCORIATION,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",N_tot,3,AEs,118,16
Placebo,EXCORIATION,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",N_pct,0.023255813953488372,N_and_N_pct,118,16
Placebo,EYE ALLERGY,EYE DISORDERS,N,1,N_and_N_pct,38,10
Placebo,EYE ALLERGY,EYE DISORDERS,N_tot,1,AEs,38,10
Placebo,EYE ALLERGY,EYE DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,38,10
Placebo,EYE LASER SURGERY,SURGICAL AND MEDICAL PROCEDURES,N,1,N_and_N_pct,61,15
Placebo,EYE LASER SURGERY,SURGICAL AND MEDICAL PROCEDURES,N_tot,1,AEs,61,15
Placebo,EYE LASER SURGERY,SURGICAL AND MEDICAL PROCEDURES,N_pct,0.011627906976744186,N_and_N_pct,61,15
Placebo,EYE PRURITUS,EYE DISORDERS,N,1,N_and_N_pct,39,10
Placebo,EYE PRURITUS,EYE DISORDERS,N_tot,1,AEs,39,10
Placebo,EYE PRURITUS,EYE DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,39,10
Placebo,EYE SWELLING,EYE DISORDERS,N,1,N_and_N_pct,40,10
Placebo,EYE SWELLING,EYE DISORDERS,N_tot,1,AEs,40,10
Placebo,EYE SWELLING,EYE DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,40,10
Placebo,FALL,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",N,1,N_and_N_pct,181,16
Placebo,FALL,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",N_tot,2,AEs,181,16
Placebo,FALL,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",N_pct,0.011627906976744186,N_and_N_pct,181,16
Placebo,FATIGUE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N,1,N_and_N_pct,25,2
Placebo,FATIGUE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_tot,2,AEs,25,2
Placebo,FATIGUE,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,N_pct,0.011627906976744186,N_and_N_pct,25,2
Placebo,FLATULENCE,GASTROINTESTINAL DISORDERS,N,1,N_and_N_pct,134,5
Placebo,FLATULENCE,GASTROINTESTINAL DISORDERS,N_tot,2,AEs,134,5
Placebo,FLATULENCE,GASTROINTESTINAL DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,134,5
Placebo,FOOD CRAVING,METABOLISM AND NUTRITION DISORDERS,N,1,N_and_N_pct,234,12
Placebo,FOOD CRAVING,METABOLISM AND NUTRITION DISORDERS,N_tot,1,AEs,234,12
Placebo,FOOD CRAVING,METABOLISM AND NUTRITION DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,234,12
Placebo,GASTROENTERITIS VIRAL,INFECTIONS AND INFESTATIONS,N,1,N_and_N_pct,210,7
Placebo,GASTROENTERITIS VIRAL,INFECTIONS AND INFESTATIONS,N_tot,1,AEs,210,7
Placebo,GASTROENTERITIS VIRAL,INFECTIONS AND INFESTATIONS,N_pct,0.011627906976744186,N_and_N_pct,210,7
Placebo,GASTROOESOPHAGEAL REFLUX DISEASE,GASTROINTESTINAL DISORDERS,N,1,N_and_N_pct,211,5
Placebo,GASTROOESOPHAGEAL REFLUX DISEASE,GASTROINTESTINAL DISORDERS,N_tot,1,AEs,211,5
Placebo,GASTROOESOPHAGEAL REFLUX DISEASE,GASTROINTESTINAL DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,211,5
Placebo,GLAUCOMA,EYE DISORDERS,N,1,N_and_N_pct,110,10
Placebo,GLAUCOMA,EYE DISORDERS,N_tot,1,AEs,110,10
Placebo,GLAUCOMA,EYE DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,110,10
Placebo,GLOSSITIS,GASTROINTESTINAL DISORDERS,N,1,N_and_N_pct,200,5
Placebo,GLOSSITIS,GASTROINTESTINAL DISORDERS,N_tot,1,AEs,200,5
Placebo,GLOSSITIS,GASTROINTESTINAL DISORDERS,N_pct,0.011627906976744186,N_and_N_pct,200,5
Placebo,HAEMOPTYSIS,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",N,1,N_and_N_pct,184,4
Placebo,HAEMOPTYSIS,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",N_tot,2,AEs,184,4
Placebo,HAEMOPTYSIS,"RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS",N_pct,0.011627906976744186,N_and_N_pct,184,4
Placebo,HEADACHE,NERVOUS SYSTEM DISORDERS,N,7,N_and_N_pct,52,13
Placebo,HEADACHE,NERVOUS SYSTEM DISORDERS,N_tot,8,AEs,52,13
Placebo,HEADACHE,NERVOUS SYSTEM DISORDERS,N_pct,0.08139534883720931,N_and_N_pct,52,13
Placebo,HEART RATE INCREASED,INVESTIGATIONS,N,1,N_and_N_pct,155,14
Placebo,HEART RATE INCREASED,INVESTIGATIONS,N_tot,2,AEs,155,14
Placebo,HEART RATE INCREASED,INVESTIGATIONS,N_pct,0.011627906976744186,N_and_N_pct,155,14
Placebo,HEART RATE IRREGULAR,INVESTIGATIONS,N,1,N_and_N_pct,153,14
Placebo,HEART RATE IRREGULAR,INVESTIGATIONS,N_tot,4,AEs,153,14
Placebo,HEART RATE IRREGULAR,INVESTIGATIONS,N_pct,0.011627906976744186,N_and_N_pct,153,14
Placebo,HIATUS HERNIA,GASTROINTESTINAL DISORDERS,N,1,N_and_N_pct,27,5
